Strain,Replicate,day,Fluor,NonFluor,fracNonFluor
1,10,2,5366.666667,8300,0.607317073
2,10,2,4683.333333,8566.666667,0.646540881
3,10,2,3033.333333,6500,0.681818182
4,10,2,3500,6816.666667,0.660743134
5,10,2,2600,5100,0.662337662
6,10,2,1416.666667,3400,0.705882353
1,2,2,2050,3950,0.658333333
2,2,2,1533.333333,2233.333333,0.592920354
3,2,2,2033.333333,3650,0.642228739
4,2,2,1500,2550,0.62962963
5,2,2,2083.333333,3700,0.639769452
6,2,2,1033.333333,1833.333333,0.639534884
1,3,2,2483.333333,6116.666667,0.71124031
2,3,2,2733.333333,6033.333333,0.688212928
3,3,2,3466.666667,6083.333333,0.636998255
4,3,2,3850,5683.333333,0.596153846
5,3,2,2883.333333,6166.666667,0.681399632
6,3,2,2966.666667,7766.666667,0.723602484
1,4,2,3116.666667,5300,0.62970297
2,4,2,3166.666667,4716.666667,0.598308668
3,4,2,2633.333333,4483.333333,0.629976581
4,4,2,1550,3433.333333,0.688963211
5,4,2,2033.333333,3800,0.651428571
6,4,2,2266.666667,3533.333333,0.609195402
1,5,2,2366.666667,5666.666667,0.705394191
2,5,2,2283.333333,4633.333333,0.669879518
3,5,2,3316.666667,6483.333333,0.661564626
4,5,2,3616.666667,7983.333333,0.688218391
5,5,2,3000,6583.333333,0.686956522
6,5,2,3183.333333,6650,0.676271186
1,6,2,3250,7916.666667,0.708955224
2,6,2,3366.666667,6950,0.673667205
3,6,2,2850,6950,0.709183673
4,6,2,2916.666667,5116.666667,0.636929461
5,6,2,2866.666667,5100,0.640167364
6,6,2,2083.333333,4733.333333,0.694376528
1,7,2,1416.666667,3833.333333,0.73015873
2,7,2,2766.666667,5533.333333,0.666666667
3,7,2,3000,6400,0.680851064
4,7,2,3016.666667,7200,0.704730832
5,7,2,3366.666667,7283.333333,0.683881064
6,7,2,2666.666667,12350,0.822419534
1,8,2,3933.333333,5383.333333,0.577817531
2,8,2,2050,5700,0.735483871
3,8,2,2900,5966.666667,0.672932331
4,8,2,1766.666667,4283.333333,0.707988981
5,8,2,966.6666667,2850,0.746724891
6,8,2,1016.666667,2500,0.710900474
1,9,2,7633.333333,19600,0.719706242
2,9,2,3716.666667,8333.333333,0.691562932
3,9,2,4133.333333,6633.333333,0.616099071
4,9,2,4183.333333,8216.666667,0.662634409
5,9,2,4350,11366.66667,0.723223754
6,9,2,3166.666667,9966.666667,0.758883249
1,1,3,9783.333333,20183.33333,0.67352614
2,1,3,31200,15100,0.326133909
3,1,3,16466.66667,4400,0.21086262
4,1,3,6816.666667,4666.666667,0.406386067
5,1,3,8133.333333,3333.333333,0.290697674
6,1,3,6600,3383.333333,0.338898164
1,10,3,24633.33333,2666.666667,0.097680098
2,10,3,11750,3233.333333,0.215795328
3,10,3,14900,2016.666667,0.119211823
4,10,3,11266.66667,3400,0.231818182
5,10,3,9633.333333,1883.333333,0.163531114
6,10,3,11400,1083.333333,0.086782377
1,2,3,8500,2366.666667,0.217791411
2,2,3,10183.33333,2816.666667,0.216666667
3,2,3,6833.333333,2733.333333,0.285714286
4,2,3,8100,2216.666667,0.214862682
5,2,3,11016.66667,2116.666667,0.161167513
6,2,3,8216.666667,1950,0.191803279
1,3,3,8133.333333,5116.666667,0.386163522
2,3,3,11500,2983.333333,0.20598389
3,3,3,10916.66667,3266.666667,0.230317274
4,3,3,12183.33333,4566.666667,0.272636816
5,3,3,12133.33333,3466.666667,0.222222222
6,3,3,10766.66667,2383.333333,0.181242079
1,4,3,8433.333333,2983.333333,0.261313869
2,4,3,8033.333333,3566.666667,0.307471264
3,4,3,8533.333333,2283.333333,0.211093991
4,4,3,9433.333333,1183.333333,0.111459969
5,4,3,7116.666667,1416.666667,0.166015625
6,4,3,6600,866.6666667,0.116071429
1,5,3,7533.333333,5950,0.441285538
2,5,3,12250,2750,0.183333333
3,5,3,11250,4683.333333,0.293933054
4,5,3,10900,3300,0.232394366
5,5,3,8800,4333.333333,0.329949239
6,5,3,8716.666667,3766.666667,0.301735648
1,6,3,8416.666667,3883.333333,0.315718157
2,6,3,8433.333333,3200,0.275071633
3,6,3,10066.66667,2150,0.175989086
4,6,3,9116.666667,1600,0.149300156
5,6,3,8333.333333,766.6666667,0.084249084
6,6,3,8716.666667,1000,0.102915952
1,7,3,11916.66667,4900,0.291377602
2,7,3,13116.66667,2816.666667,0.176778243
3,7,3,10866.66667,4233.333333,0.280353201
4,7,3,11900,2883.333333,0.195039459
5,7,3,10633.33333,3500,0.247641509
6,7,3,11333.33333,2150,0.159456119
1,8,3,9233.333333,3950,0.299620733
2,8,3,8983.333333,2216.666667,0.197916667
3,8,3,9400,2083.333333,0.181422351
4,8,3,8050,1916.666667,0.192307692
5,8,3,7716.666667,1116.666667,0.126415094
6,8,3,8183.333333,866.6666667,0.095764273
1,9,3,9416.666667,8366.666667,0.470477976
2,9,3,15650,3383.333333,0.177758319
3,9,3,22683.33333,8516.666667,0.272970085
4,9,3,20200,5066.666667,0.200527704
5,9,3,19316.66667,3916.666667,0.168579627
6,9,3,15683.33333,3500,0.182450043
1,1,4,1750,6433.333333,0.786150713
2,1,4,3800,5416.666667,0.587703436
3,1,4,2783.333333,6383.333333,0.696363636
4,1,4,5016.666667,4133.333333,0.451730419
5,1,4,5533.333333,3483.333333,0.386321627
6,1,4,6233.333333,3133.333333,0.334519573
